序号,平台,博主名字,视频链接,状态,文件路径,文件大小字节,下载来源,错误
1,TikTok,Mary,https://www.tiktok.com/@mary.g0.round/video/7581524587050044694,成功,/Users/cathug/Documents/ai舞蹈生成器/模版收集/代表视频/新增一年内50条/TikTok/01_TikTok_Mary_7581524587050044694_SOMEONE FIND HER TIKTOK 😭😭🙏‼️ #kpop #kpoprandomdan.mp4,9650275,https://www.tikwm.com/api/?url=https%3A%2F%2Fwww.tiktok.com%2F%40mary.g0.round%2Fvideo%2F7581524587050044694,
2,TikTok,Moca_e_Sousa,https://www.tiktok.com/@moca_e_sousa/video/7597477862643485984,成功,/Users/cathug/Documents/ai舞蹈生成器/模版收集/代表视频/新增一年内50条/TikTok/02_TikTok_Moca_e_Sousa_7597477862643485984_Para quem disse que não sabemos mais nenhuma ent p.mp4,1480259,https://www.tikwm.com/api/?url=https%3A%2F%2Fwww.tiktok.com%2F%40moca_e_sousa%2Fvideo%2F7597477862643485984,
3,TikTok,🧸,https://www.tiktok.com/@luvzxgn/video/7652257056157617415,成功,/Users/cathug/Documents/ai舞蹈生成器/模版收集/代表视频/新增一年内50条/TikTok/03_TikTok_🧸_7652257056157617415_#brazil🇧🇷 #braziliandance #classmates #dancetrend.mp4,1939647,https://www.tikwm.com/api/?url=https%3A%2F%2Fwww.tiktok.com%2F%40luvzxgn%2Fvideo%2F7652257056157617415,
4,TikTok,offmaskcrew,https://www.tiktok.com/@offmaskcrew/video/7564430027706813699,成功,/Users/cathug/Documents/ai舞蹈生成器/模版收集/代表视频/新增一年内50条/TikTok/04_TikTok_offmaskcrew_7564430027706813699_vai no pal 🤯😛 _ dancers_ @bębęw @melanie.br @aliya.mp4,3256061,https://www.tikwm.com/api/?url=https%3A%2F%2Fwww.tiktok.com%2F%40offmaskcrew%2Fvideo%2F7564430027706813699,
5,TikTok,Seth_Juma🤫,https://www.tiktok.com/@seth_juma/video/7587065941394050316,成功,/Users/cathug/Documents/ai舞蹈生成器/模版收集/代表视频/新增一年内50条/TikTok/05_TikTok_Seth_Juma🤫_7587065941394050316_onewith sianekesaiswaisting🥰🥰🥰☺️👌 . #creatorsearch.mp4,1409174,https://www.tikwm.com/api/?url=https%3A%2F%2Fwww.tiktok.com%2F%40seth_juma%2Fvideo%2F7587065941394050316,
6,TikTok,𝐁𝐄𝐍𝐆Ü,https://www.tiktok.com/@bngylmz/video/7530348908287921410,成功,/Users/cathug/Documents/ai舞蹈生成器/模版收集/代表视频/新增一年内50条/TikTok/06_TikTok_𝐁𝐄𝐍𝐆Ü_7530348908287921410_The duo you never knew you needed @𝐙𝐀𝐇𝐈𝐃𝐄 🩷 #berli.mp4,2198091,https://www.tikwm.com/api/?url=https%3A%2F%2Fwww.tiktok.com%2F%40bngylmz%2Fvideo%2F7530348908287921410,
7,TikTok,tonirex,https://www.tiktok.com/@tonirexxx/video/7616899530583280917,成功,/Users/cathug/Documents/ai舞蹈生成器/模版收集/代表视频/新增一年内50条/TikTok/07_TikTok_tonirex_7616899530583280917_#brasil🇧🇷 #brazilliandance #dancetrend2026 #viralv.mp4,2168900,https://www.tikwm.com/api/?url=https%3A%2F%2Fwww.tiktok.com%2F%40tonirexxx%2Fvideo%2F7616899530583280917,
8,TikTok,offmaskcrew,https://www.tiktok.com/@offmaskcrew/video/7539167257319066902,成功,/Users/cathug/Documents/ai舞蹈生成器/模版收集/代表视频/新增一年内50条/TikTok/08_TikTok_offmaskcrew_7539167257319066902_side to side _ dancers_ @steffi ;) @melanie.br @we.mp4,2238126,https://www.tikwm.com/api/?url=https%3A%2F%2Fwww.tiktok.com%2F%40offmaskcrew%2Fvideo%2F7539167257319066902,
9,TikTok,erkim.nurko,https://www.tiktok.com/@erkim.nurko/video/7633759961624907029,成功,/Users/cathug/Documents/ai舞蹈生成器/模版收集/代表视频/新增一年内50条/TikTok/09_TikTok_erkim.nurko_7633759961624907029_Brazil dance tutorial #tutorial #follow #on #trend.mp4,762748,https://www.tikwm.com/api/?url=https%3A%2F%2Fwww.tiktok.com%2F%40erkim.nurko%2Fvideo%2F7633759961624907029,
10,TikTok,Koifish_,https://www.tiktok.com/@kiro_22_/video/7653473335615196437,成功,/Users/cathug/Documents/ai舞蹈生成器/模版收集/代表视频/新增一年内50条/TikTok/10_TikTok_Koifish_7653473335615196437_So cool❤️‍🔥 #dance #trend #arianagrande (dc_@bianc.mp4,812384,https://www.tikwm.com/api/?url=https%3A%2F%2Fwww.tiktok.com%2F%40kiro_22_%2Fvideo%2F7653473335615196437,
11,TikTok,whiteboypook,https://www.tiktok.com/@whiteboypook/video/7619149378216840479,成功,/Users/cathug/Documents/ai舞蹈生成器/模版收集/代表视频/新增一年内50条/TikTok/11_TikTok_whiteboypook_7619149378216840479_Brazil got the best dances fr 😂#dance #whiteboy #w.mp4,1673629,https://www.tikwm.com/api/?url=https%3A%2F%2Fwww.tiktok.com%2F%40whiteboypook%2Fvideo%2F7619149378216840479,
12,TikTok,Kari Snap,https://www.tiktok.com/@kari_snap/video/7608205421320408341,成功,/Users/cathug/Documents/ai舞蹈生成器/模版收集/代表视频/新增一年内50条/TikTok/12_TikTok_Kari Snap_7608205421320408341_Result 💕#trendingdance #dancetrend2026 #dancechall.mp4,1915781,https://www.tikwm.com/api/?url=https%3A%2F%2Fwww.tiktok.com%2F%40kari_snap%2Fvideo%2F7608205421320408341,
13,TikTok,JALAPEÑOS,https://www.tiktok.com/@team.jalapenos/video/7576753995365027094,成功,/Users/cathug/Documents/ai舞蹈生成器/模版收集/代表视频/新增一年内50条/TikTok/13_TikTok_JALAPEÑOS_7576753995365027094_why choosing between girl or boy group when you ca.mp4,3549548,https://www.tikwm.com/api/?url=https%3A%2F%2Fwww.tiktok.com%2F%40team.jalapenos%2Fvideo%2F7576753995365027094,
14,TikTok,hailey harrison,https://www.tiktok.com/@haiharrison/video/7652564935762922782,成功,/Users/cathug/Documents/ai舞蹈生成器/模版收集/代表视频/新增一年内50条/TikTok/14_TikTok_hailey harrison_7652564935762922782_whatchu know about macarena 🕺🏻 #legburner #cjump #.mp4,3100934,https://www.tikwm.com/api/?url=https%3A%2F%2Fwww.tiktok.com%2F%40haiharrison%2Fvideo%2F7652564935762922782,
15,TikTok,offmaskcrew,https://www.tiktok.com/@offmaskcrew/video/7547719281291693334,成功,/Users/cathug/Documents/ai舞蹈生成器/模版收集/代表视频/新增一年内50条/TikTok/15_TikTok_offmaskcrew_7547719281291693334_🤠🤠_ dancers_ @aliya @melanie.br @weni _ dc_ _ #dan.mp4,2525060,https://www.tikwm.com/api/?url=https%3A%2F%2Fwww.tiktok.com%2F%40offmaskcrew%2Fvideo%2F7547719281291693334,
