平台,点赞数,评论数,博主名字,视频封面,视频链接,发布时间,视频标题/说明,播放量,分享数,时长秒,采集说明,来源URL
TikTok,3787835,6551,Mary,https://p16-common-sign.tiktokcdn-eu.com/tos-no1a-p-0037-no/ogExnXREQFAfHQBtUpvgCi5mkBFxVfNDvD7Myg~tplv-tiktokx-origin.image?biz_tag=musically_video.video_cover&dr=1347&idc=no1a&ps=933b5bde&refresh_token=9ba2cb8b&s=SEARCH&sc=cover&shcp=c1333099&shp=d05b14bd&t=bacd0480&x-expires=1782727200&x-signature=raqFm4FNk2sBI4ruCdi5zYgu7sE%3D,https://www.tiktok.com/@mary.g0.round/video/7581524587050044694,2025-12-09,SOMEONE FIND HER TIKTOK 😭😭🙏‼️ #kpop #kpoprandomdancechallenge #kpoprandomplaydance #yeonjun #katseyedaniela,27344119,45717,29,TikTok search: kpop dance challenge; one-year window,https://www.tikwm.com/api/feed/search?keywords=kpop+dance+challenge&count=30
TikTok,2885910,6289,Moca_e_Sousa,https://p16-common-sign.tiktokcdn-eu.com/tos-useast2a-p-0037-euttp/owaL3GeIag3fSTwMpgDEjMAbi6gNLiIoGSW1Uf~tplv-tiktokx-origin.image?biz_tag=musically_video.video_cover&dr=1347&idc=no1a&item=7597477862643485984&ps=933b5bde&refresh_token=8f47fcf1&s=SEARCH&sc=cover&shcp=c1333099&shp=d05b14bd&t=bacd0480&x-expires=1782727200&x-signature=klca7e6JmEO89hRL%2Bdj0pwH1Hmg%3D,https://www.tiktok.com/@moca_e_sousa/video/7597477862643485984,2026-01-21,Para quem disse que não sabemos mais nenhuma ent pega essa!!!😜#passinhodojamal🇧🇷 #passinhdojamal #fyp,47594796,186110,11,TikTok search: passinho do jamal dance; one-year window,https://www.tikwm.com/api/feed/search?keywords=passinho+do+jamal+dance&count=30
TikTok,2310813,6094,🧸,https://p16-common-sign.tiktokcdn-eu.com/tos-alisg-p-0037/o0jUAy9IP0VExIRiFlwoEYB5AEiBcyCvGaJ0h~tplv-tiktokx-origin.image?biz_tag=musically_video.video_cover&dr=1347&idc=no1a&ps=933b5bde&refresh_token=23a71c11&s=SEARCH&sc=cover&shcp=c1333099&shp=d05b14bd&t=bacd0480&x-expires=1782727200&x-signature=QyKodXToYUPlhm7ipwAi3hSewRc%3D,https://www.tiktok.com/@luvzxgn/video/7652257056157617415,2026-06-17,#brazil🇧🇷 #braziliandance #classmates #dancetrend,13019438,123586,15,TikTok search: brazil dance trend; one-year window,https://www.tikwm.com/api/feed/search?keywords=brazil+dance+trend&count=30
TikTok,2123784,6167,offmaskcrew,https://p16-common-sign.tiktokcdn-eu.com/tos-no1a-p-0037-no/oQDCjwGg9HIeGcBv0EfcI0dINw9LQIRfLQAAhD~tplv-tiktokx-origin.image?biz_tag=musically_video.video_cover&dr=1347&idc=no1a&ps=933b5bde&refresh_token=c6d4b863&s=SEARCH&sc=cover&shcp=c1333099&shp=d05b14bd&t=bacd0480&x-expires=1782727200&x-signature=Vj%2BAd%2FSDQ6RV7ZnViGoKi5h16LI%3D,https://www.tiktok.com/@offmaskcrew/video/7564430027706813699,2025-10-23,vai no pal 🤯😛 | dancers: @bębęw @melanie.br @aliya | dc: ? #dance #dancechallenge #dancetrend #dancetrend2025 #trend,87830929,154153,15,TikTok search: tiktok dance 2025; one-year window,https://www.tikwm.com/api/feed/search?keywords=tiktok+dance+2025&count=30
TikTok,1791077,19434,Seth_Juma🤫,https://p16-common-sign.tiktokcdn-eu.com/tos-maliva-p-0068/ea4f7ec1e0ec44ea9bc1889e2e1d284f~tplv-tiktokx-origin.image?biz_tag=musically_video.video_cover&dr=10402&idc=no1a&ps=13740610&refresh_token=35069ce1&shcp=9b759fb9&shp=c1333099&t=4d5b0474&x-expires=1782662400&x-signature=rZQrDBfqKqG3REn9ZsglnWJhnzQ%3D,https://www.tiktok.com/@seth_juma/video/7587065941394050316,2025-12-23,onewith sianekesaiswaisting🥰🥰🥰☺️👌 . #creatorsearchinsights #sethjuma #sia_nekesa #newdancechallenge2025🎶🔥 #nwe_ternding,35394921,40320,12,TikTok search: dance challenge 2025; one-year window,https://www.tikwm.com/api/feed/search?keywords=dance+challenge+2025&count=30
TikTok,1854153,6969,𝐁𝐄𝐍𝐆Ü,https://p16-common-sign.tiktokcdn-eu.com/tos-no1a-p-0037-no/oQaABIICEZBAiHlEAsBqVB9hEoLIAviYypOcA~tplv-tiktokx-origin.image?biz_tag=musically_video.video_cover&dr=1347&idc=no1a&ps=933b5bde&refresh_token=d82f0b6b&s=SEARCH&sc=cover&shcp=c1333099&shp=d05b14bd&t=bacd0480&x-expires=1782727200&x-signature=CIr3NsW66r1XW9B%2BVJ%2FXHRqdwmc%3D,https://www.tiktok.com/@bngylmz/video/7530348908287921410,2025-07-24,The duo you never knew you needed @𝐙𝐀𝐇𝐈𝐃𝐄 🩷 #berlin #fyp #fypシ゚ #fypage #viral #bengü #fürdich #pourtoii #kesfet #parati #pravocê #trending #viralll #goviral #viraltrend #viraldance #bengülunatix #lunatix #lunatixdancebase #zahide #acelerada #braziliandance #dancetrend2025 #dancetrend #viralvideo🔥 #goviralll #tiktokdance2025 #creatorsearchinsights,43705456,66960,15,TikTok search: viral dance 2025; one-year window,https://www.tikwm.com/api/feed/search?keywords=viral+dance+2025&count=30
TikTok,1763553,4550,tonirex,https://p16-common-sign.tiktokcdn-eu.com/tos-alisg-p-0037/fb8c9e5de3d74c94a1a59d95d913d604~tplv-tiktokx-origin.image?biz_tag=musically_video.video_cover&dr=10402&idc=no1a&ps=13740610&refresh_token=220fc79a&shcp=9b759fb9&shp=c1333099&t=4d5b0474&x-expires=1782662400&x-signature=k8XbaGiXZPFvG8i87SP0lR%2BHFCc%3D,https://www.tiktok.com/@tonirexxx/video/7616899530583280917,2026-03-14,#brasil🇧🇷 #brazilliandance #dancetrend2026 #viralvideo,59804544,133483,17,TikTok search: viral dance 2026; one-year window,https://www.tikwm.com/api/feed/search?keywords=viral+dance+2026&count=30
TikTok,1615295,3664,offmaskcrew,https://p16-common-sign.tiktokcdn-eu.com/tos-no1a-p-0037-no/o4iBKBAD08iGtIy5EXBKhr91agIvAYALCgiZ1~tplv-tiktokx-origin.image?biz_tag=musically_video.video_cover&dr=1347&idc=no1a&ps=933b5bde&refresh_token=a0166a6d&s=SEARCH&sc=cover&shcp=c1333099&shp=d05b14bd&t=bacd0480&x-expires=1782727200&x-signature=Ecph4EhPhgG%2BI18%2FMTGbQxhcAmo%3D,https://www.tiktok.com/@offmaskcrew/video/7539167257319066902,2025-08-16,side to side | dancers: @steffi ;) @melanie.br @weni | #arianagrande #dance #dancechallenge #dancetrend #dancetrend2025,28566822,65180,15,TikTok search: dance challenge 2025; one-year window,https://www.tikwm.com/api/feed/search?keywords=dance+challenge+2025&count=30
TikTok,1267610,3118,erkim.nurko,https://p16-common-sign.tiktokcdn-eu.com/tos-alisg-p-0037/oIEEUBemIAUNyUCE7Bkiy5gZTITRg4iupwBEDf~tplv-tiktokx-origin.image?biz_tag=musically_video.video_cover&dr=1347&idc=no1a&ps=933b5bde&refresh_token=44d79e2b&s=SEARCH&sc=cover&shcp=c1333099&shp=d05b14bd&t=bacd0480&x-expires=1782727200&x-signature=v9p24U5PEVfiLKvfJIFzopjsQgo%3D,https://www.tiktok.com/@erkim.nurko/video/7633759961624907029,2026-04-28,Brazil dance tutorial #tutorial #follow #on #trend #brazil,56339566,110903,15,TikTok search: brazil dance trend; one-year window,https://www.tikwm.com/api/feed/search?keywords=brazil+dance+trend&count=30
TikTok,1265366,2206,Koifish_,https://p19-common-sign.tiktokcdn-eu.com/tos-alisg-p-0037/oQa2PARCXIYjwBV7whiaZiICIEm0BFRAa05zu~tplv-tiktokx-origin.image?biz_tag=musically_video.video_cover&dr=1347&idc=no1a&ps=933b5bde&refresh_token=c4004e1c&s=SEARCH&sc=cover&shcp=c1333099&shp=d05b14bd&t=bacd0480&x-expires=1782727200&x-signature=sZqXKFyfAXu7s1BOF3HhIwTa6e4%3D,https://www.tiktok.com/@kiro_22_/video/7653473335615196437,2026-06-20,So cool❤️‍🔥 #dance #trend #arianagrande (dc:@bianca),7724228,59743,13,TikTok search: dance trend; one-year window,https://www.tikwm.com/api/feed/search?keywords=dance+trend&count=30
TikTok,1223787,4237,whiteboypook,https://p16-common-sign.tiktokcdn-eu.com/tos-useast8-p-0068-tx2/ogUR8IIGLQ2gRqfQImpA4fG5LxeEAFBfKQk8Hq~tplv-tiktokx-origin.image?biz_tag=musically_video.video_cover&dr=1347&idc=no1a&ps=933b5bde&refresh_token=52f958c9&s=SEARCH&sc=cover&shcp=c1333099&shp=d05b14bd&t=bacd0480&x-expires=1782727200&x-signature=uAme6tpFmygT062CoebbLZFkNJs%3D,https://www.tiktok.com/@whiteboypook/video/7619149378216840479,2026-03-20,Brazil got the best dances fr 😂#dance #whiteboy #whiteboypook,17481959,142129,12,TikTok search: brazil dance trend; one-year window,https://www.tikwm.com/api/feed/search?keywords=brazil+dance+trend&count=30
