平台,点赞数,评论数,博主名字,视频封面,视频链接,发布时间,视频标题/说明,播放量,分享数,时长秒,采集说明,来源URL
TikTok,1116384,2960,Bizzy,https://p16-common-sign.tiktokcdn-eu.com/tos-maliva-p-0068/ooTDFCcJpIs3Rj99QIPOEfMCSQfgQQAWeC9jgv~tplv-tiktokx-dmt-logom:tos-useast2a-v-0068/oYDISQomgABpCbybjFfYqQDEyAfYAEI9GAtsAe.image?biz_tag=musically_video.video_cover&dr=9230&idc=no1a&ps=933b5bde&refresh_token=f98337bc&s=SEARCH&sc=cover&shcp=c1333099&shp=d05b14bd&t=bacd0480&x-expires=1782727200&x-signature=XfEq%2BuW%2F%2Fht3Fv8lY6JorfvKYpg%3D,https://www.tiktok.com/@bizzyboom/video/7529631991931653381,2025-07-22,How to do the body party trend! #dance #dancechallenge #tutorial,27144174,74294,18,TikTok search: body dance challenge; one-year window; adult/sensitive-term filtered,https://www.tikwm.com/api/feed/search?keywords=body+dance+challenge&count=30
TikTok,288137,613,まじっくあわー🦋💎,https://p16-common-sign.tiktokcdn-eu.com/tos-alisg-p-0037/okQugUzIECKZqAj9FeQAgWQDdqMf4IF5S8exV4~tplv-tiktokx-origin.image?biz_tag=musically_video.video_cover&dr=1347&idc=no1a&ps=933b5bde&refresh_token=8264382b&s=SEARCH&sc=cover&shcp=c1333099&shp=d05b14bd&t=bacd0480&x-expires=1782727200&x-signature=pjfusOp08tEpVEawaVgJdAx9qn8%3D,https://www.tiktok.com/@magichour0120/video/7642701602704428308,2026-05-22,Did you know about this trend that's been popular lately?🤩👊🏻❤️‍🔥 #ElaKéCavucadinha #brazilianfunk #dance #trend #流行り,4993774,11609,15,TikTok search: brazilian funk dance; one-year window; adult/sensitive-term filtered,https://www.tikwm.com/api/feed/search?keywords=brazilian+funk+dance&count=30
TikTok,206057,304,𝐋𝐎𝐔𝐃𝐙 ✦,https://p16-common-sign.tiktokcdn-eu.com/tos-no1a-p-0037-no/ogovFYZiJsRMBIMI8BipA7BBgYkYmFavffbEwy~tplv-tiktokx-origin.image?biz_tag=musically_video.video_cover&dr=1347&idc=no1a&ps=933b5bde&refresh_token=fac59e83&s=SEARCH&sc=cover&shcp=c1333099&shp=d05b14bd&t=bacd0480&x-expires=1782727200&x-signature=vefMHXLcBTXB5NFFHvUfXRJXw5s%3D,https://www.tiktok.com/@iamloudz/video/7597553785673747734,2026-01-21,My good love mek yuh turn and FAHHHHH! 🗣️ | dc: @𝓒𝓮𝓵𝓮𝓼𝓽𝓮 #prodloudz #prod #remix #rmx #nyc,1652436,10205,15,TikTok search: back it up dance; one-year window; adult/sensitive-term filtered,https://www.tikwm.com/api/feed/search?keywords=back+it+up+dance&count=30
TikTok,188111,766,caokiecat,https://p16-common-sign.tiktokcdn-eu.com/tos-useast5-p-0068-tx/o89eZLFGIGlbfqRxMA5tAJBvQeghnLOIf8QiSB~tplv-tiktokx-origin.image?biz_tag=musically_video.video_cover&dr=1347&idc=no1a&ps=933b5bde&refresh_token=1db1c3d4&s=SEARCH&sc=cover&shcp=c1333099&shp=d05b14bd&t=bacd0480&x-expires=1782727200&x-signature=Fz%2F0AW5W88E8hyF0vtsW%2F0EV7fw%3D,https://www.tiktok.com/@caokiecat/video/7601680271817100599,2026-02-01,pink is my life #dance #dancechallenge #asian #feelingonmybody #pink,1397759,6806,10,TikTok search: body dance challenge; one-year window; adult/sensitive-term filtered,https://www.tikwm.com/api/feed/search?keywords=body+dance+challenge&count=30
TikTok,178096,566,Jerra🧩,https://p16-common-sign.tiktokcdn-eu.com/tos-useast2a-p-0037-euttp/oAMDBcSAeKOMSeuPGczjPR8FIlGWCUQTgQeQYQ~tplv-tiktokx-origin.image?biz_tag=musically_video.video_cover&dr=1347&idc=no1a&item=7602728053155908897&ps=933b5bde&refresh_token=f50eb0f5&s=SEARCH&sc=cover&shcp=c1333099&shp=d05b14bd&t=bacd0480&x-expires=1782727200&x-signature=IyWNQl%2Fb8mYEYCku7%2FtA0uW5y2U%3D,https://www.tiktok.com/@j.m4y/video/7602728053155908897,2026-02-04,Back it up🔥 #fyp #dance #explorepage✨ #viral #foryoupage @nior @Jogga🧃,2713614,13201,15,TikTok search: back it up dance; one-year window; adult/sensitive-term filtered,https://www.tikwm.com/api/feed/search?keywords=back+it+up+dance&count=30
TikTok,122788,810,𝑌𝐴𝑌𝐴..,https://p16-common-sign.tiktokcdn-eu.com/tos-alisg-p-0037/o8mnYFgEfAQEnnYWHDRqrABqFEBcFE7WL4jQex~tplv-tiktokx-origin.image?biz_tag=musically_video.video_cover&dr=1347&idc=no1a&ps=933b5bde&refresh_token=05682018&s=SEARCH&sc=cover&shcp=c1333099&shp=d05b14bd&t=bacd0480&x-expires=1782727200&x-signature=JBkIyI4qGJ0jx9cE08Rj9QddubA%3D,https://www.tiktok.com/@alya.dx/video/7643604676600024340,2026-05-25,dancecore #vibes #dadykawato #danse #dancecore,666873,11889,17,TikTok search: waist dance; one-year window; adult/sensitive-term filtered,https://www.tikwm.com/api/feed/search?keywords=waist+dance&count=30
TikTok,107451,1078,Wiszka,https://p16-common-sign.tiktokcdn-eu.com/tos-useast5-p-0068-tx/o0AAdF2AgiI2AozRaaBh4kvbTE5hAHi6BiwEz~tplv-tiktokx-origin.image?biz_tag=musically_video.video_cover&dr=1347&idc=no1a&ps=933b5bde&refresh_token=37605230&s=SEARCH&sc=cover&shcp=c1333099&shp=d05b14bd&t=bacd0480&x-expires=1782727200&x-signature=nNDWHQYjOMryC4iMAYlvwXmRFAQ%3D,https://www.tiktok.com/@paulinawiszka/video/7643131183831797006,2026-05-24,Another fire class by @NiekaOG⚡️ 🧠 @nieka_og @_ogmovement 💃 @Ángela Gelabert @paulina_wiszka_wiszowata @evelyn.ac16 🎥 @twincitytv 🎶 @VALIANT @Di Genius 🇯🇲 #ogmovement #valiant #nycdance #nycdancehall #wiszka,1139766,4694,65,TikTok search: dancehall dance challenge; one-year window; adult/sensitive-term filtered,https://www.tikwm.com/api/feed/search?keywords=dancehall+dance+challenge&count=30
TikTok,85836,371,kelly<3,https://p16-common-sign.tiktokcdn-eu.com/tos-no1a-p-0037-no/owQRI2pIADEHiArkQirDfFPefLIb6IhijQ7LAB~tplv-tiktokx-origin.image?biz_tag=musically_video.video_cover&dr=1347&idc=no1a&ps=933b5bde&refresh_token=e210ca3e&s=SEARCH&sc=cover&shcp=c1333099&shp=d05b14bd&t=bacd0480&x-expires=1782727200&x-signature=Tfr1J%2FbWpvUqpKmozQitkGUiYag%3D,https://www.tiktok.com/@kellyisdancing/video/7527354370292256022,2025-07-16,dc:@jadan.s.m_zay #fyp #dancer #dancechallenge #brazilianfunk #trendingdance,1560994,1613,15,TikTok search: brazilian funk dance; one-year window; adult/sensitive-term filtered,https://www.tikwm.com/api/feed/search?keywords=brazilian+funk+dance&count=30
TikTok,77873,441,Daria Pop,https://p16-common-sign.tiktokcdn-eu.com/tos-no1a-p-0037-no/o8DzjHDAfbPf8xqt9OmmIP9EFwyFIITcLIAAOe~tplv-tiktokx-origin.image?biz_tag=musically_video.video_cover&dr=1347&idc=no1a&ps=933b5bde&refresh_token=4cbe337f&s=SEARCH&sc=cover&shcp=c1333099&shp=d05b14bd&t=bacd0480&x-expires=1782727200&x-signature=rNzhldWs8YgY5TZR3WVBlpP%2BF0k%3D,https://www.tiktok.com/@idariapop/video/7637261474393558294,2026-05-08,DOLLY BODHYY🫂🤝🌟🍋‍🟩// ch: me & @valentinabenito #dancehallmusic #dancechallenge #dollybody #fyp,510776,3621,32,TikTok search: dancehall dance challenge; one-year window; adult/sensitive-term filtered,https://www.tikwm.com/api/feed/search?keywords=dancehall+dance+challenge&count=30
TikTok,74991,694,Amapiano🇿🇦👑❤️‍🔥🫂,https://p16-common-sign.tiktokcdn-eu.com/tos-alisg-p-0037/2282723e7d7d4266b91b79666a1a8c1e~tplv-tiktokx-origin.image?biz_tag=musically_video.video_cover&dr=10402&idc=no1a&ps=13740610&refresh_token=5df7b2ee&shcp=9b759fb9&shp=c1333099&t=4d5b0474&x-expires=1782662400&x-signature=LKEY0ajBaO%2BWkXlgRl8oy2e9BNY%3D,https://www.tiktok.com/@_afropresh/video/7616465380281830664,2026-03-13,#goviral #culturaldance #igboamaka #afropresh #adaigbo,547519,462,13,TikTok search: afro waist dance; one-year window; adult/sensitive-term filtered,https://www.tikwm.com/api/feed/search?keywords=afro+waist+dance&count=30
